Tester,도킹유형,보드번호,PKG_Type,body_Size,양산_FT,보드제작처,Socket제작처,제품명,자작FT가능,Comment
3380D,Flat Cable,C-FB80-4,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,A96G166KNN,O,
3380D,Flat Cable,C-FB80-4,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,MCF8014,,
3380D,Flat Cable,C-FB80-4,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,MC96F6332P,,
3380D,Flat Cable,C-FB80-5,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,A31G123KNN,O,
3380D,Flat Cable,C-FB80-6,44_LQFP,10x10-0.8,FBHS,FBHS,FBHS,BLANK, ,
3380D,Flat Cable,C-FB80-7,44_LQFP,10x10-0.8,FBHS,FBHS,FBHS,,,BLANK
3380D,Flat Cable,C-FB80-8,44_LQFP,10x10-0.8,FBHS,FBHS,FBHS,A31G112SNN,O,4-layers
3380D,Flat Cable,C-FB80-9,44_LQFP,10x10x-0.5,FBHS,FBHS,FBHS,,,BLANK
3380D,Flat Cable,C-FB80-10,64_LQFP,10x10-0.5,FBHS,디엔텍,FBHS,,,부적합
3380D,Flat Cable,C-FB80-11,44_LQFP,10x10-0.8,FBHS,FBHS,FBHS,A31G134SNN,O,
3380D,Flat Cable,C-FB80-12,32_QFN,5x5-0.75-0.5,FBHS,디엔텍,FBHS,A94P830KUN,O,Octal
3380D,Flat Cable,C-FB80-13,80_LQFP,12x12-0.5,FBHS,FBHS,FBHS,A31G123MLN,,
3380D,Flat Cable,C-FB80-14,80_LQFP,12x12-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-15,80_LQFP,12x12-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-16,80_LQFP,12x12-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-17,80_LQFP,12x12-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-18,64_LQFP,10x10-0.5,FBHS,FBHS,FBHS,"SITE3,4: A31L123RLN(미사용)",,
3380D,Flat Cable,C-FB80-18,64_LQFP,10x10-0.5,FBHS,FBHS,FBHS,"SITE1,2: A96R740RLN",,
3380D,Flat Cable,C-FB80-19,64_LQFP,10x10-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-20,64_LQFP,10x10-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-21,64_LQFP,10x10-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-22,48_LQFP,7x7-0.5,FBHS,FBHS,FBHS,"MC96F6509LBN
A96R717CIN",,
3380D,Flat Cable,C-FB80-23,48_LQFP,7x7-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-24,48_LQFP,7x7-0.5,FBHS,FBHS,FBHS,A31G112CLN,,
3380D,Flat Cable,C-FB80-25,48_LQFP,7x7-0.5,FBHS,FBHS,FBHS,A96R717CIN,,FBHS 송부
3380D,Flat Cable,C-FB80-26,48_LQFP,7x7-0.5,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-27,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,A96G140KNN,,
3380D,Flat Cable,C-FB80-28,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,"AC30M1364LBN
A31G112KNN
A31S134KNN",,
3380D,Flat Cable,C-FB80-29,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-30,32_LQFP,7x7-0.8,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-31,24_QFN ,4X4,FBHS,FBHS,FBHS,A31C122LUN,,
3380D,Flat Cable,C-FB80-32,24_QFN ,4X4,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-33,24_QFN ,4X4,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-34,24_QFN ,4X4,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-35,32_LQFP,7X7,FBHS,FBHS,FBHS,96T629KN2N,,
3380D,Flat Cable,C-FB80-36,48_QFN,6X6,FBHS,FBHS,FBHS,A31S134CUN,,
3380D,Flat Cable,C-FB80-37,48_QFN,6X6,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-38,48_QFN,6X6,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-39,48_QFN,6X6,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-40,48_QFN,6X6,FBHS,FBHS,FBHS,BLANK,,
3380D,Flat Cable,C-FB80-41,32_QFN,5X5,FBHS,FBHS,FBHS,A96P829KUN,,
3380D,Flat Cable,C-FB80-42,32_QFN,5X5,FBHS,FBHS,FBHS,A31C122KYN,,
3380D,Flat Cable,C-FB80-43,24_QFN ,4X4,FBHS,FBHS,FBHS,"DUT1,2: 보드구성됨 제품명 미기입",,
3380D,Flat Cable,C-FB80-43,24_QFN ,4X4,FBHS,FBHS,FBHS,"DUT4,3 : BLANK",,
3380&3360D,Flat Cable,C-FB6080-1,28_TSSOP,,FBHS,FBHS,Manual,A96G150GRN,,
3380&3360D,Flat Cable,C-FB6080-2,24_QFN ,,,FBHS,Manual,A96F118LUN,O,DUT3 : A96F118LUN
3380&3360D,Flat Cable,C-FB6080-2,32_QFN ,,,,Manual,A31C144KYN,O,DUT4 : A31C144KYN
3380&3360D,Flat Cable,C-FB6080-3,28_SOP,,FBHS,FBHS,Manual,MC96F6332PMBN,,
